M,adv_a_position,adv_per_query,attack,both_sides,correct_answer_pct,dataset,experiment_full_name,false_removal_rate,incorrect_answer_pct,inference_time,model,no_questions,removal,repeat,retriver,score,success_injection_rate,success_removal_rate,top_k
10,start,3,hotflip,0,23.00%,hotpotqa,dataset_hotpotqa-retriver_contriever-model_true_meta-llama/Llama-3.1-8B-Instruct-M10xRepeat10-attack_hotflip-removal_drift-defend_none-cos_sim-adv_per_query3-adv_a_position_start-Top_5-Seed_12_both_combined,0.06%,76.00%,28.28,meta,0,drift,10,contriever,cos,0.60%,0.00%,5
10,start,5,hotflip,0,6.00%,hotpotqa,dataset_hotpotqa-retriver_contriever-model_true_meta-llama/Llama-3.1-8B-Instruct-M10xRepeat10-attack_hotflip-removal_drift-defend_none-cos_sim-adv_per_query5-adv_a_position_start-Top_5-Seed_12_both_combined,0.06%,94.00%,31.07,meta,0,drift,10,contriever,cos,1.00%,0.00%,5
10,start,3,hotflip,1,28.00%,hotpotqa,dataset_hotpotqa-retriver_contriever-model_true_meta-llama/Llama-3.1-8B-Instruct-M10xRepeat10-attack_hotflip-removal_none-defend_none-dot-adv_per_query3-adv_a_position_start-Top_5-Seed_12_no_questions_both_sides,,68.00%,5.20,meta,1,none,10,contriever,dot,0.60%,,5
10,end,3,hotflip,1,30.00%,hotpotqa,dataset_hotpotqa-retriver_contriever-model_true_meta-llama/Llama-3.1-8B-Instruct-M10xRepeat10-attack_hotflip-removal_none-defend_none-dot-adv_per_query3-adv_a_position_end-Top_5-Seed_12_no_questions_both_sides,,66.00%,5.43,meta,1,none,10,contriever,dot,0.60%,,5
10,start,3,hotflip,1,24.00%,hotpotqa,dataset_hotpotqa-retriver_contriever-model_true_meta-llama/Llama-3.1-8B-Instruct-M10xRepeat10-attack_hotflip-removal_none-defend_none-cos_sim-adv_per_query3-adv_a_position_start-Top_5-Seed_12_no_questions_both_sides,,76.00%,4.38,meta,1,none,10,contriever,cos,0.60%,,5
10,end,3,hotflip,1,28.00%,hotpotqa,dataset_hotpotqa-retriver_contriever-model_true_meta-llama/Llama-3.1-8B-Instruct-M10xRepeat10-attack_hotflip-removal_none-defend_none-cos_sim-adv_per_query3-adv_a_position_end-Top_5-Seed_12_no_questions_both_sides,,70.00%,4.42,meta,1,none,10,contriever,cos,0.60%,,5
10,end,3,none,1,72.00%,hotpotqa,dataset_hotpotqa-retriver_contriever-model_true_meta-llama/Llama-3.1-8B-Instruct-M10xRepeat10-attack_none-removal_none-defend_none-dot-adv_per_query3-adv_a_position_end-Top_5-Seed_12_no_questions_both_sides,,3.00%,6.91,meta,1,none,10,contriever,dot,0.00%,,5
10,start,3,none,1,72.00%,hotpotqa,dataset_hotpotqa-retriver_contriever-model_true_meta-llama/Llama-3.1-8B-Instruct-M10xRepeat10-attack_none-removal_none-defend_none-dot-adv_per_query3-adv_a_position_start-Top_5-Seed_12_no_questions_both_sides,,3.00%,6.58,meta,1,none,10,contriever,dot,0.00%,,5
10,start,3,none,1,67.00%,hotpotqa,dataset_hotpotqa-retriver_contriever-model_true_meta-llama/Llama-3.1-8B-Instruct-M10xRepeat10-attack_none-removal_none-defend_none-cos_sim-adv_per_query3-adv_a_position_start-Top_5-Seed_12_no_questions_both_sides,,8.00%,22.28,meta,1,none,10,contriever,cos,0.00%,,5
10,start,3,none,1,69.00%,hotpotqa,dataset_hotpotqa-retriver_contriever-model_true_meta-llama/Llama-3.1-8B-Instruct-M10xRepeat10-attack_none-removal_drift-defend_none-dot-adv_per_query3-adv_a_position_start-Top_5-Seed_12_no_questions_both_sides,0.08%,3.00%,22.53,meta,1,drift,10,contriever,dot,0.00%,1.00%,5
10,end,3,none,1,69.00%,hotpotqa,dataset_hotpotqa-retriver_contriever-model_true_meta-llama/Llama-3.1-8B-Instruct-M10xRepeat10-attack_none-removal_drift-defend_none-dot-adv_per_query3-adv_a_position_end-Top_5-Seed_12_no_questions_both_sides,0.08%,3.00%,23.43,meta,1,drift,10,contriever,dot,0.00%,1.00%,5
10,end,1,hotflip,0,40.00%,hotpotqa,dataset_hotpotqa-retriver_contriever-model_true_meta-llama/Llama-3.1-8B-Instruct-M10xRepeat10-attack_hotflip-removal_drift-defend_none-cos_sim-adv_per_query1-adv_a_position_end-Top_5-Seed_12_both_combined,0.06%,54.00%,20.47,meta,0,drift,10,contriever,cos,0.20%,0.00%,5
10,end,3,hotflip,0,26.00%,hotpotqa,dataset_hotpotqa-retriver_contriever-model_true_meta-llama/Llama-3.1-8B-Instruct-M10xRepeat10-attack_hotflip-removal_drift-defend_none-cos_sim-adv_per_query3-adv_a_position_end-Top_5-Seed_12_both_combined,0.06%,72.00%,42.77,meta,0,drift,10,contriever,cos,0.60%,0.00%,5
10,start,3,none,1,70.00%,hotpotqa,dataset_hotpotqa-retriver_contriever-model_true_meta-llama/Llama-3.1-8B-Instruct-M10xRepeat10-attack_none-removal_kmeans_ngram-defend_none-dot-adv_per_query3-adv_a_position_start-Top_5-Seed_12_no_questions_both_sides,0.18%,3.00%,12.45,meta,1,kmeans_ngram,10,contriever,dot,0.00%,1.00%,5
10,end,3,none,1,70.00%,hotpotqa,dataset_hotpotqa-retriver_contriever-model_true_meta-llama/Llama-3.1-8B-Instruct-M10xRepeat10-attack_none-removal_kmeans_ngram-defend_none-dot-adv_per_query3-adv_a_position_end-Top_5-Seed_12_no_questions_both_sides,0.18%,3.00%,12.25,meta,1,kmeans_ngram,10,contriever,dot,0.00%,1.00%,5
10,end,5,hotflip,0,8.00%,hotpotqa,dataset_hotpotqa-retriver_contriever-model_true_meta-llama/Llama-3.1-8B-Instruct-M10xRepeat10-attack_hotflip-removal_drift-defend_none-cos_sim-adv_per_query5-adv_a_position_end-Top_5-Seed_12_both_combined,0.06%,89.00%,35.89,meta,0,drift,10,contriever,cos,1.00%,0.00%,5
10,start,1,hotflip,0,31.00%,hotpotqa,dataset_hotpotqa-retriver_contriever-model_true_meta-llama/Llama-3.1-8B-Instruct-M10xRepeat10-attack_hotflip-removal_kmeans_ngram-defend_none-cos_sim-adv_per_query1-adv_a_position_start-Top_5-Seed_12_both_combined,0.35%,60.00%,10.50,meta,0,kmeans_ngram,10,contriever,cos,0.18%,0.09%,5
10,end,3,none,0,66.00%,hotpotqa,dataset_hotpotqa-retriver_contriever-model_true_meta-llama/Llama-3.1-8B-Instruct-M10xRepeat10-attack_none-removal_drift-defend_none-cos_sim-adv_per_query3-adv_a_position_end-Top_5-Seed_12_both_combined,0.06%,8.00%,34.93,meta,0,drift,10,contriever,cos,0.00%,1.00%,5
10,start,3,hotflip,0,60.00%,hotpotqa,dataset_hotpotqa-retriver_contriever-model_true_meta-llama/Llama-3.1-8B-Instruct-M10xRepeat10-attack_hotflip-removal_kmeans_ngram-defend_none-cos_sim-adv_per_query3-adv_a_position_start-Top_5-Seed_12_both_combined,0.41%,7.00%,17.08,meta,0,kmeans_ngram,10,contriever,cos,0.00%,1.00%,5
10,start,5,hotflip,0,60.00%,hotpotqa,dataset_hotpotqa-retriver_contriever-model_true_meta-llama/Llama-3.1-8B-Instruct-M10xRepeat10-attack_hotflip-removal_kmeans_ngram-defend_none-cos_sim-adv_per_query5-adv_a_position_start-Top_5-Seed_12_both_combined,0.41%,8.00%,31.42,meta,0,kmeans_ngram,10,contriever,cos,0.00%,1.00%,5
10,start,3,none,0,62.00%,hotpotqa,dataset_hotpotqa-retriver_contriever-model_true_meta-llama/Llama-3.1-8B-Instruct-M10xRepeat10-attack_none-removal_kmeans_ngram-defend_none-cos_sim-adv_per_query3-adv_a_position_start-Top_5-Seed_12_both_combined,0.33%,8.00%,27.09,meta,0,kmeans_ngram,10,contriever,cos,0.00%,1.00%,5
10,end,3,hotflip,0,67.00%,hotpotqa,dataset_hotpotqa-retriver_contriever-model_true_meta-llama/Llama-3.1-8B-Instruct-M10xRepeat10-attack_hotflip-removal_drift-defend_none-dot-adv_per_query3-adv_a_position_end-Top_5-Seed_12_both_combined,0.07%,5.00%,30.53,meta,0,drift,10,contriever,dot,0.01%,0.99%,5
10,end,1,hotflip,0,36.00%,hotpotqa,dataset_hotpotqa-retriver_contriever-model_true_meta-llama/Llama-3.1-8B-Instruct-M10xRepeat10-attack_hotflip-removal_kmeans_ngram-defend_none-cos_sim-adv_per_query1-adv_a_position_end-Top_5-Seed_12_both_combined,0.35%,55.00%,10.00,meta,0,kmeans_ngram,10,contriever,cos,0.17%,0.13%,5
10,end,3,hotflip,0,61.00%,hotpotqa,dataset_hotpotqa-retriver_contriever-model_true_meta-llama/Llama-3.1-8B-Instruct-M10xRepeat10-attack_hotflip-removal_kmeans_ngram-defend_none-cos_sim-adv_per_query3-adv_a_position_end-Top_5-Seed_12_both_combined,0.42%,8.00%,12.33,meta,0,kmeans_ngram,10,contriever,cos,0.00%,0.99%,5
10,end,3,none,0,62.00%,hotpotqa,dataset_hotpotqa-retriver_contriever-model_true_meta-llama/Llama-3.1-8B-Instruct-M10xRepeat10-attack_none-removal_kmeans_ngram-defend_none-cos_sim-adv_per_query3-adv_a_position_end-Top_5-Seed_12_both_combined,0.33%,8.00%,27.14,meta,0,kmeans_ngram,10,contriever,cos,0.00%,1.00%,5
10,end,5,hotflip,0,60.00%,hotpotqa,dataset_hotpotqa-retriver_contriever-model_true_meta-llama/Llama-3.1-8B-Instruct-M10xRepeat10-attack_hotflip-removal_kmeans_ngram-defend_none-cos_sim-adv_per_query5-adv_a_position_end-Top_5-Seed_12_both_combined,0.41%,8.00%,31.08,meta,0,kmeans_ngram,10,contriever,cos,0.00%,1.00%,5
10,start,1,hotflip,0,35.00%,hotpotqa,dataset_hotpotqa-retriver_contriever-model_true_meta-llama/Llama-3.1-8B-Instruct-M10xRepeat10-attack_hotflip-removal_kmeans_ngram-defend_none-dot-adv_per_query1-adv_a_position_start-Top_5-Seed_12_both_combined,0.19%,61.00%,13.25,meta,0,kmeans_ngram,10,contriever,dot,0.19%,0.05%,5
10,start,3,hotflip,0,59.00%,hotpotqa,dataset_hotpotqa-retriver_contriever-model_true_meta-llama/Llama-3.1-8B-Instruct-M10xRepeat10-attack_hotflip-removal_kmeans_ngram-defend_none-dot-adv_per_query3-adv_a_position_start-Top_5-Seed_12_both_combined,0.22%,10.00%,35.92,meta,0,kmeans_ngram,10,contriever,dot,0.02%,0.96%,5
10,start,5,hotflip,0,66.00%,hotpotqa,dataset_hotpotqa-retriver_contriever-model_true_meta-llama/Llama-3.1-8B-Instruct-M10xRepeat10-attack_hotflip-removal_kmeans_ngram-defend_none-dot-adv_per_query5-adv_a_position_start-Top_5-Seed_12_both_combined,0.23%,5.00%,34.07,meta,0,kmeans_ngram,10,contriever,dot,0.01%,0.99%,5
10,end,1,hotflip,0,43.00%,hotpotqa,dataset_hotpotqa-retriver_contriever-model_true_meta-llama/Llama-3.1-8B-Instruct-M10xRepeat10-attack_hotflip-removal_kmeans_ngram-defend_none-dot-adv_per_query1-adv_a_position_end-Top_5-Seed_12_both_combined,0.19%,51.00%,16.06,meta,0,kmeans_ngram,10,contriever,dot,0.19%,0.04%,5
10,end,3,hotflip,0,61.00%,hotpotqa,dataset_hotpotqa-retriver_contriever-model_true_meta-llama/Llama-3.1-8B-Instruct-M10xRepeat10-attack_hotflip-removal_kmeans_ngram-defend_none-dot-adv_per_query3-adv_a_position_end-Top_5-Seed_12_both_combined,0.22%,5.00%,33.60,meta,0,kmeans_ngram,10,contriever,dot,0.02%,0.96%,5
10,end,5,hotflip,0,65.00%,hotpotqa,dataset_hotpotqa-retriver_contriever-model_true_meta-llama/Llama-3.1-8B-Instruct-M10xRepeat10-attack_hotflip-removal_kmeans_ngram-defend_none-dot-adv_per_query5-adv_a_position_end-Top_5-Seed_12_both_combined,0.22%,6.00%,34.27,meta,0,kmeans_ngram,10,contriever,dot,0.00%,1.00%,5
10,start,3,none,1,65.00%,nq,dataset_nq-retriver_contriever-model_true_mistralai/Mistral-Nemo-Instruct-2407-M10xRepeat10-attack_none-removal_all-defend_none-dot-adv_per_query3-adv_a_position_start-Top_5-Seed_12_no_questions_both_sides,,2.00%,2.43,mistralai/Mistral,1,all,10,contriever,dot,0.00%,,5
10,start,3,hotflip,1,66.00%,nq,dataset_nq-retriver_contriever-model_true_mistralai/Mistral-Nemo-Instruct-2407-M10xRepeat10-attack_hotflip-removal_drift-defend_none-dot-adv_per_query3-adv_a_position_start-Top_5-Seed_12_no_questions_both_sides,0.06%,2.00%,39.31,mistralai/Mistral,1,drift,10,contriever,dot,0.01%,0.98%,5
10,end,3,hotflip,1,69.00%,nq,dataset_nq-retriver_contriever-model_true_mistralai/Mistral-Nemo-Instruct-2407-M10xRepeat10-attack_hotflip-removal_drift-defend_none-dot-adv_per_query3-adv_a_position_end-Top_5-Seed_12_no_questions_both_sides,0.11%,4.00%,41.27,mistralai/Mistral,1,drift,10,contriever,dot,0.03%,0.95%,5
10,start,3,hotflip,1,61.00%,nq,dataset_nq-retriver_contriever-model_true_mistralai/Mistral-Nemo-Instruct-2407-M10xRepeat10-attack_hotflip-removal_kmeans_ngram-defend_none-dot-adv_per_query3-adv_a_position_start-Top_5-Seed_12_no_questions_both_sides,0.12%,6.00%,17.90,mistralai/Mistral,1,kmeans_ngram,10,contriever,dot,0.06%,0.90%,5
10,start,3,hotflip,1,21.00%,nq,dataset_nq-retriver_contriever-model_true_mistralai/Mistral-Nemo-Instruct-2407-M10xRepeat10-attack_hotflip-removal_none-defend_none-dot-adv_per_query3-adv_a_position_start-Top_5-Seed_12_no_questions_both_sides,,73.00%,7.62,mistralai/Mistral,1,none,10,contriever,dot,0.60%,,5
10,end,3,hotflip,1,22.00%,nq,dataset_nq-retriver_contriever-model_true_mistralai/Mistral-Nemo-Instruct-2407-M10xRepeat10-attack_hotflip-removal_none-defend_none-dot-adv_per_query3-adv_a_position_end-Top_5-Seed_12_no_questions_both_sides,,73.00%,7.22,mistralai/Mistral,1,none,10,contriever,dot,0.60%,,5
10,start,3,hotflip,1,13.00%,nq,dataset_nq-retriver_contriever-model_true_mistralai/Mistral-Nemo-Instruct-2407-M10xRepeat10-attack_hotflip-removal_none-defend_none-cos_sim-adv_per_query3-adv_a_position_start-Top_5-Seed_12_no_questions_both_sides,,80.00%,4.24,mistralai/Mistral,1,none,10,contriever,cos,0.58%,,5
10,end,3,hotflip,1,13.00%,nq,dataset_nq-retriver_contriever-model_true_mistralai/Mistral-Nemo-Instruct-2407-M10xRepeat10-attack_hotflip-removal_none-defend_none-cos_sim-adv_per_query3-adv_a_position_end-Top_5-Seed_12_no_questions_both_sides,,82.00%,4.75,mistralai/Mistral,1,none,10,contriever,cos,0.60%,,5
10,start,3,none,1,69.00%,nq,dataset_nq-retriver_contriever-model_true_mistralai/Mistral-Nemo-Instruct-2407-M10xRepeat10-attack_none-removal_none-defend_none-dot-adv_per_query3-adv_a_position_start-Top_5-Seed_12_no_questions_both_sides,,1.00%,10.70,mistralai/Mistral,1,none,10,contriever,dot,0.00%,,5
10,start,3,none,1,69.00%,nq,dataset_nq-retriver_contriever-model_true_mistralai/Mistral-Nemo-Instruct-2407-M10xRepeat10-attack_none-removal_none-defend_none-cos_sim-adv_per_query3-adv_a_position_start-Top_5-Seed_12_no_questions_both_sides,,0.00%,4.40,mistralai/Mistral,1,none,10,contriever,cos,0.00%,,5
10,end,3,none,1,69.00%,nq,dataset_nq-retriver_contriever-model_true_mistralai/Mistral-Nemo-Instruct-2407-M10xRepeat10-attack_none-removal_none-defend_none-dot-adv_per_query3-adv_a_position_end-Top_5-Seed_12_no_questions_both_sides,,1.00%,9.62,mistralai/Mistral,1,none,10,contriever,dot,0.00%,,5
10,end,3,none,1,69.00%,nq,dataset_nq-retriver_contriever-model_true_mistralai/Mistral-Nemo-Instruct-2407-M10xRepeat10-attack_none-removal_none-defend_none-cos_sim-adv_per_query3-adv_a_position_end-Top_5-Seed_12_no_questions_both_sides,,0.00%,4.50,mistralai/Mistral,1,none,10,contriever,cos,0.00%,,5
10,start,3,none,1,69.00%,nq,dataset_nq-retriver_contriever-model_true_mistralai/Mistral-Nemo-Instruct-2407-M10xRepeat10-attack_none-removal_drift-defend_none-dot-adv_per_query3-adv_a_position_start-Top_5-Seed_12_no_questions_both_sides,0.07%,1.00%,27.26,mistralai/Mistral,1,drift,10,contriever,dot,0.00%,1.00%,5
10,end,3,none,1,69.00%,nq,dataset_nq-retriver_contriever-model_true_mistralai/Mistral-Nemo-Instruct-2407-M10xRepeat10-attack_none-removal_drift-defend_none-dot-adv_per_query3-adv_a_position_end-Top_5-Seed_12_no_questions_both_sides,0.07%,1.00%,25.47,mistralai/Mistral,1,drift,10,contriever,dot,0.00%,1.00%,5
10,end,3,none,1,65.00%,nq,dataset_nq-retriver_contriever-model_true_mistralai/Mistral-Nemo-Instruct-2407-M10xRepeat10-attack_none-removal_kmeans_ngram-defend_none-dot-adv_per_query3-adv_a_position_end-Top_5-Seed_12_no_questions_both_sides,0.10%,1.00%,15.79,mistralai/Mistral,1,kmeans_ngram,10,contriever,dot,0.00%,1.00%,5
10,start,3,none,1,65.00%,nq,dataset_nq-retriver_contriever-model_true_mistralai/Mistral-Nemo-Instruct-2407-M10xRepeat10-attack_none-removal_kmeans_ngram-defend_none-dot-adv_per_query3-adv_a_position_start-Top_5-Seed_12_no_questions_both_sides,0.10%,1.00%,16.46,mistralai/Mistral,1,kmeans_ngram,10,contriever,dot,0.00%,1.00%,5
10,start,5,hotflip,1,63.00%,nq,dataset_nq-retriver_contriever-model_true_mistralai/Mistral-Nemo-Instruct-2407-M10xRepeat10-attack_hotflip-removal_drift-defend_none-dot-adv_per_query5-adv_a_position_start-Top_5-Seed_12_no_questions_both_sides,0.07%,8.00%,48.05,mistralai/Mistral,1,drift,10,contriever,dot,0.03%,0.97%,5
10,end,5,hotflip,1,65.00%,nq,dataset_nq-retriver_contriever-model_true_mistralai/Mistral-Nemo-Instruct-2407-M10xRepeat10-attack_hotflip-removal_drift-defend_none-dot-adv_per_query5-adv_a_position_end-Top_5-Seed_12_no_questions_both_sides,0.12%,7.00%,39.90,mistralai/Mistral,1,drift,10,contriever,dot,0.06%,0.94%,5
10,start,5,hotflip,1,62.00%,nq,dataset_nq-retriver_contriever-model_true_mistralai/Mistral-Nemo-Instruct-2407-M10xRepeat10-attack_hotflip-removal_kmeans_ngram-defend_none-dot-adv_per_query5-adv_a_position_start-Top_5-Seed_12_no_questions_both_sides,0.12%,5.00%,21.74,mistralai/Mistral,1,kmeans_ngram,10,contriever,dot,0.03%,0.97%,5
10,end,5,hotflip,1,63.00%,nq,dataset_nq-retriver_contriever-model_true_mistralai/Mistral-Nemo-Instruct-2407-M10xRepeat10-attack_hotflip-removal_kmeans_ngram-defend_none-dot-adv_per_query5-adv_a_position_end-Top_5-Seed_12_no_questions_both_sides,0.12%,5.00%,19.84,mistralai/Mistral,1,kmeans_ngram,10,contriever,dot,0.02%,0.98%,5
10,start,1,hotflip,1,67.00%,nq,dataset_nq-retriver_contriever-model_true_mistralai/Mistral-Nemo-Instruct-2407-M10xRepeat10-attack_hotflip-removal_drift-defend_none-dot-adv_per_query1-adv_a_position_start-Top_5-Seed_12_no_questions_both_sides,0.06%,2.00%,27.06,mistralai/Mistral,1,drift,10,contriever,dot,0.00%,0.98%,5
10,end,1,hotflip,1,67.00%,nq,dataset_nq-retriver_contriever-model_true_mistralai/Mistral-Nemo-Instruct-2407-M10xRepeat10-attack_hotflip-removal_drift-defend_none-dot-adv_per_query1-adv_a_position_end-Top_5-Seed_12_no_questions_both_sides,0.07%,3.00%,29.93,mistralai/Mistral,1,drift,10,contriever,dot,0.01%,0.94%,5
10,start,1,hotflip,1,46.00%,nq,dataset_nq-retriver_contriever-model_true_mistralai/Mistral-Nemo-Instruct-2407-M10xRepeat10-attack_hotflip-removal_kmeans_ngram-defend_none-dot-adv_per_query1-adv_a_position_start-Top_5-Seed_12_no_questions_both_sides,0.12%,38.00%,22.01,mistralai/Mistral,1,kmeans_ngram,10,contriever,dot,0.19%,0.03%,5
10,end,1,hotflip,1,44.00%,nq,dataset_nq-retriver_contriever-model_true_mistralai/Mistral-Nemo-Instruct-2407-M10xRepeat10-attack_hotflip-removal_kmeans_ngram-defend_none-dot-adv_per_query1-adv_a_position_end-Top_5-Seed_12_no_questions_both_sides,0.12%,40.00%,15.94,mistralai/Mistral,1,kmeans_ngram,10,contriever,dot,0.19%,0.03%,5
10,start,3,none,1,71.00%,hotpotqa,dataset_hotpotqa-retriver_contriever-model_true_mistralai/Mistral-Nemo-Instruct-2407-M10xRepeat10-attack_none-removal_all-defend_none-dot-adv_per_query3-adv_a_position_start-Top_5-Seed_12_no_questions_both_sides,,5.00%,3.14,mistralai/Mistral,1,all,10,contriever,dot,0.00%,,5
10,start,3,hotflip,1,68.00%,hotpotqa,dataset_hotpotqa-retriver_contriever-model_true_mistralai/Mistral-Nemo-Instruct-2407-M10xRepeat10-attack_hotflip-removal_drift-defend_none-dot-adv_per_query3-adv_a_position_start-Top_5-Seed_12_no_questions_both_sides,0.09%,11.00%,38.50,mistralai/Mistral,1,drift,10,contriever,dot,0.01%,0.98%,5
